division_code,division_name,district_code,district_name,upazila_code,upazila_name,union_code,union_name
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010801,Ward No-01
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010802,Ward No-02
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010803,Ward No-03
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010804,Ward No-04
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010805,Ward No-05
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010806,Ward No-06
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010807,Ward No-07
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010808,Ward No-08
40,Khulna,4001,Bagerhat ,400108,Bagerhat Sadar ,40010809,Ward No-09
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015802,Ward No-02
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015803,Ward No-03
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015804,Ward No-04
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015805,Ward No-05
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015806,Ward No-06
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015807,Ward No-07
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015808,Ward No-08
40,Khulna,4001,Bagerhat ,400158,Mongla ,40015809,Ward No-09
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016001,Ward No-01
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016002,Ward No-02
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016003,Ward No-03
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016004,Ward No-04
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016005,Ward No-05
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016006,Ward No-06
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016007,Ward No-07
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016008,Ward No-08
40,Khulna,4001,Bagerhat ,400160,Morrelganj ,40016009,Ward No-09
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031401,Ward No-01
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031402,Ward No-02
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031403,Ward No-03
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031404,Ward No-04
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031405,Ward No-05
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031406,Ward No-06
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031407,Ward No-07
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031408,Ward No-08
20,Chittagong,2003,Bandarban ,200314,Bandarban Sadar ,20031409,Ward No-09
20,Chittagong,2003,Bandarban ,200351,Lama ,20035101,Ward No-01
20,Chittagong,2003,Bandarban ,200351,Lama ,20035102,Ward No-02
20,Chittagong,2003,Bandarban ,200351,Lama ,20035103,Ward No-03
20,Chittagong,2003,Bandarban ,200351,Lama ,20035104,Ward No-04
20,Chittagong,2003,Bandarban ,200351,Lama ,20035105,Ward No-05
20,Chittagong,2003,Bandarban ,200351,Lama ,20035106,Ward No-06
20,Chittagong,2003,Bandarban ,200351,Lama ,20035107,Ward No-07
20,Chittagong,2003,Bandarban ,200351,Lama ,20035108,Ward No-08
20,Chittagong,2003,Bandarban ,200351,Lama ,20035109,Ward No-09
10,Barisal,1004,Barguna ,100409,Amtali ,10040901,Ward No-01
10,Barisal,1004,Barguna ,100409,Amtali ,10040902,Ward No-02
10,Barisal,1004,Barguna ,100409,Amtali ,10040903,Ward No-03
10,Barisal,1004,Barguna ,100409,Amtali ,10040904,Ward No-04
10,Barisal,1004,Barguna ,100409,Amtali ,10040905,Ward No-05
10,Barisal,1004,Barguna ,100409,Amtali ,10040906,Ward No-06
10,Barisal,1004,Barguna ,100409,Amtali ,10040907,Ward No-07
10,Barisal,1004,Barguna ,100409,Amtali ,10040908,Ward No-08
10,Barisal,1004,Barguna ,100409,Amtali ,10040909,Ward No-09
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042801,Ward No-01
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042802,Ward No-02
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042803,Ward No-03
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042804,Ward No-04
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042805,Ward No-05
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042806,Ward No-06
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042807,Ward No-07
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042808,Ward No-08
10,Barisal,1004,Barguna ,100428,Barguna Sadar ,10042809,Ward No-09
10,Barisal,1004,Barguna ,100447,Betagi ,10044701,Ward No-01
10,Barisal,1004,Barguna ,100447,Betagi ,10044702,Ward No-02
10,Barisal,1004,Barguna ,100447,Betagi ,10044703,Ward No-03
10,Barisal,1004,Barguna ,100447,Betagi ,10044704,Ward No-04
10,Barisal,1004,Barguna ,100447,Betagi ,10044705,Ward No-05
10,Barisal,1004,Barguna ,100447,Betagi ,10044706,Ward No-06
10,Barisal,1004,Barguna ,100447,Betagi ,10044707,Ward No-07
10,Barisal,1004,Barguna ,100447,Betagi ,10044708,Ward No-08
10,Barisal,1004,Barguna ,100447,Betagi ,10044709,Ward No-09
10,Barisal,1004,Barguna ,100485,Patharghata ,10048501,Ward No-01
10,Barisal,1004,Barguna ,100485,Patharghata ,10048502,Ward No-02
10,Barisal,1004,Barguna ,100485,Patharghata ,10048503,Ward No-03
10,Barisal,1004,Barguna ,100485,Patharghata ,10048504,Ward No-04
10,Barisal,1004,Barguna ,100485,Patharghata ,10048505,Ward No-05
10,Barisal,1004,Barguna ,100485,Patharghata ,10048506,Ward No-06
10,Barisal,1004,Barguna ,100485,Patharghata ,10048507,Ward No-07
10,Barisal,1004,Barguna ,100485,Patharghata ,10048508,Ward No-08
10,Barisal,1004,Barguna ,100485,Patharghata ,10048509,Ward No-09
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060701,Ward No-01
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060702,Ward No-02
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060703,Ward No-03
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060704,Ward No-04
